"Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Education","Education Code","Deaths","Population","Crude Rate","AGE","adjusted_population","Cause"
"73 years",73,"Male","M","Some college credit, but not a degree",4,4557,"Not Applicable","Not Applicable",73,702067.084350584,"Diseases of Heart"
"73 years",73,"Male","M","Associate degree (AA,AS)",5,2160,"Not Applicable","Not Applicable",73,394766.675919497,"Diseases of Heart"
"73 years",73,"Male","M","Bachelor’s degree (BA, AB, BS)",6,4040,"Not Applicable","Not Applicable",73,848831.460659139,"Diseases of Heart"
"73 years",73,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1541,"Not Applicable","Not Applicable",73,516829.902184161,"Diseases of Heart"
"73 years",73,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,681,"Not Applicable","Not Applicable",73,242425.846461899,"Diseases of Heart"
"74 years",74,"Female","F","8th grade or less",1,1137,"Not Applicable","Not Applicable",74,174156.987633509,"Diseases of Heart"
"74 years",74,"Female","F","9th through 12th grade with no diploma",2,1601,"Not Applicable","Not Applicable",74,262586.29003087,"Diseases of Heart"
"74 years",74,"Female","F","High school graduate or GED completed",3,8522,"Not Applicable","Not Applicable",74,1413174.86758067,"Diseases of Heart"
"74 years",74,"Female","F","Some college credit, but not a degree",4,2768,"Not Applicable","Not Applicable",74,883877.702778343,"Diseases of Heart"
"74 years",74,"Female","F","Associate degree (AA,AS)",5,1754,"Not Applicable","Not Applicable",74,520562.229267746,"Diseases of Heart"
"74 years",74,"Female","F","Bachelor’s degree (BA, AB, BS)",6,2069,"Not Applicable","Not Applicable",74,827035.202963688,"Diseases of Heart"
"74 years",74,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1039,"Not Applicable","Not Applicable",74,468024.212423334,"Diseases of Heart"
"74 years",74,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,160,"Not Applicable","Not Applicable",74,136619.507321845,"Diseases of Heart"
"74 years",74,"Male","M","8th grade or less",1,1754,"Not Applicable","Not Applicable",74,167153.956396014,"Diseases of Heart"
"74 years",74,"Male","M","9th through 12th grade with no diploma",2,2258,"Not Applicable","Not Applicable",74,181635.777263835,"Diseases of Heart"
"74 years",74,"Male","M","High school graduate or GED completed",3,11685,"Not Applicable","Not Applicable",74,1093935.07378936,"Diseases of Heart"
"74 years",74,"Male","M","Some college credit, but not a degree",4,4636,"Not Applicable","Not Applicable",74,642382.399190346,"Diseases of Heart"
"74 years",74,"Male","M","Associate degree (AA,AS)",5,2303,"Not Applicable","Not Applicable",74,420642.418683053,"Diseases of Heart"
"74 years",74,"Male","M","Bachelor’s degree (BA, AB, BS)",6,4294,"Not Applicable","Not Applicable",74,806283.233883078,"Diseases of Heart"
"74 years",74,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1829,"Not Applicable","Not Applicable",74,450896.093554493,"Diseases of Heart"
"74 years",74,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,785,"Not Applicable","Not Applicable",74,272049.047239824,"Diseases of Heart"
"75 years",75,"Female","F","8th grade or less",1,1281,"Not Applicable","Not Applicable",75,192392.75373049,"Diseases of Heart"
"75 years",75,"Female","F","9th through 12th grade with no diploma",2,1697,"Not Applicable","Not Applicable",75,188615.243450483,"Diseases of Heart"
"75 years",75,"Female","F","High school graduate or GED completed",3,8867,"Not Applicable","Not Applicable",75,1376828.42043978,"Diseases of Heart"
"75 years",75,"Female","F","Some college credit, but not a degree",4,2789,"Not Applicable","Not Applicable",75,766505.030656334,"Diseases of Heart"
"75 years",75,"Female","F","Associate degree (AA,AS)",5,1698,"Not Applicable","Not Applicable",75,462710.368840556,"Diseases of Heart"
"75 years",75,"Female","F","Bachelor’s degree (BA, AB, BS)",6,2040,"Not Applicable","Not Applicable",75,689795.636241979,"Diseases of Heart"
"75 years",75,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1033,"Not Applicable","Not Applicable",75,436468.934241914,"Diseases of Heart"
"75 years",75,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,181,"Not Applicable","Not Applicable",75,134669.612398467,"Diseases of Heart"
"75 years",75,"Male","M","8th grade or less",1,1799,"Not Applicable","Not Applicable",75,173988.143222815,"Diseases of Heart"
"75 years",75,"Male","M","9th through 12th grade with no diploma",2,2226,"Not Applicable","Not Applicable",75,176213.923074121,"Diseases of Heart"
"75 years",75,"Male","M","High school graduate or GED completed",3,11500,"Not Applicable","Not Applicable",75,971003.139188242,"Diseases of Heart"
"75 years",75,"Male","M","Some college credit, but not a degree",4,4435,"Not Applicable","Not Applicable",75,596731.884338032,"Diseases of Heart"
"75 years",75,"Male","M","Associate degree (AA,AS)",5,2144,"Not Applicable","Not Applicable",75,322243.721657814,"Diseases of Heart"
"75 years",75,"Male","M","Bachelor’s degree (BA, AB, BS)",6,4340,"Not Applicable","Not Applicable",75,742773.840559215,"Diseases of Heart"
"75 years",75,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1914,"Not Applicable","Not Applicable",75,408255.460790654,"Diseases of Heart"
"75 years",75,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,845,"Not Applicable","Not Applicable",75,232136.887169107,"Diseases of Heart"
"76 years",76,"Female","F","8th grade or less",1,1337,"Not Applicable","Not Applicable",76,172986.652840196,"Diseases of Heart"
"76 years",76,"Female","F","9th through 12th grade with no diploma",2,1780,"Not Applicable","Not Applicable",76,228243.810091521,"Diseases of Heart"
"76 years",76,"Female","F","High school graduate or GED completed",3,9017,"Not Applicable","Not Applicable",76,1268550.38570105,"Diseases of Heart"
"76 years",76,"Female","F","Some college credit, but not a degree",4,2732,"Not Applicable","Not Applicable",76,558803.171806096,"Diseases of Heart"
"76 years",76,"Female","F","Associate degree (AA,AS)",5,1637,"Not Applicable","Not Applicable",76,377409.205027119,"Diseases of Heart"
"76 years",76,"Female","F","Bachelor’s degree (BA, AB, BS)",6,2048,"Not Applicable","Not Applicable",76,726915.595043794,"Diseases of Heart"
"76 years",76,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,998,"Not Applicable","Not Applicable",76,368871.883786702,"Diseases of Heart"
"76 years",76,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,210,"Not Applicable","Not Applicable",76,111446.295703522,"Diseases of Heart"
"76 years",76,"Male","M","8th grade or less",1,1936,"Not Applicable","Not Applicable",76,150120.160086558,"Diseases of Heart"
"76 years",76,"Male","M","9th through 12th grade with no diploma",2,2216,"Not Applicable","Not Applicable",76,127449.342047052,"Diseases of Heart"
"76 years",76,"Male","M","High school graduate or GED completed",3,11274,"Not Applicable","Not Applicable",76,916251.131160939,"Diseases of Heart"
"76 years",76,"Male","M","Some college credit, but not a degree",4,4254,"Not Applicable","Not Applicable",76,493470.874842182,"Diseases of Heart"
"76 years",76,"Male","M","Associate degree (AA,AS)",5,2018,"Not Applicable","Not Applicable",76,210960.543586436,"Diseases of Heart"
"76 years",76,"Male","M","Bachelor’s degree (BA, AB, BS)",6,4027,"Not Applicable","Not Applicable",76,710242.115402799,"Diseases of Heart"
"76 years",76,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1762,"Not Applicable","Not Applicable",76,377980.079064112,"Diseases of Heart"
"76 years",76,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,821,"Not Applicable","Not Applicable",76,221837.753809921,"Diseases of Heart"
"77 years",77,"Female","F","8th grade or less",1,1463,"Not Applicable","Not Applicable",77,199880.301154799,"Diseases of Heart"
"77 years",77,"Female","F","9th through 12th grade with no diploma",2,1733,"Not Applicable","Not Applicable",77,220468.987427223,"Diseases of Heart"
"77 years",77,"Female","F","High school graduate or GED completed",3,8759,"Not Applicable","Not Applicable",77,1098447.71507951,"Diseases of Heart"
"77 years",77,"Female","F","Some college credit, but not a degree",4,2574,"Not Applicable","Not Applicable",77,473682.178140583,"Diseases of Heart"
"77 years",77,"Female","F","Associate degree (AA,AS)",5,1589,"Not Applicable","Not Applicable",77,313040.881252911,"Diseases of Heart"
"77 years",77,"Female","F","Bachelor’s degree (BA, AB, BS)",6,1999,"Not Applicable","Not Applicable",77,546096.38442965,"Diseases of Heart"
"77 years",77,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,995,"Not Applicable","Not Applicable",77,338967.876645041,"Diseases of Heart"
"77 years",77,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,193,"Not Applicable","Not Applicable",77,100938.675870285,"Diseases of Heart"
"77 years",77,"Male","M","8th grade or less",1,1977,"Not Applicable","Not Applicable",77,159781.999236046,"Diseases of Heart"
"77 years",77,"Male","M","9th through 12th grade with no diploma",2,2249,"Not Applicable","Not Applicable",77,186323.996231225,"Diseases of Heart"
"77 years",77,"Male","M","High school graduate or GED completed",3,10780,"Not Applicable","Not Applicable",77,792449.976195744,"Diseases of Heart"
"77 years",77,"Male","M","Some college credit, but not a degree",4,3885,"Not Applicable","Not Applicable",77,331576.857405563,"Diseases of Heart"
"77 years",77,"Male","M","Associate degree (AA,AS)",5,1784,"Not Applicable","Not Applicable",77,203615.007530242,"Diseases of Heart"
"77 years",77,"Male","M","Bachelor’s degree (BA, AB, BS)",6,3702,"Not Applicable","Not Applicable",77,494359.415290011,"Diseases of Heart"
"77 years",77,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1728,"Not Applicable","Not Applicable",77,343872.284717995,"Diseases of Heart"
"77 years",77,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,879,"Not Applicable","Not Applicable",77,189029.463393175,"Diseases of Heart"
"78 years",78,"Female","F","8th grade or less",1,1593,"Not Applicable","Not Applicable",78,146399.188050015,"Diseases of Heart"
"78 years",78,"Female","F","9th through 12th grade with no diploma",2,1894,"Not Applicable","Not Applicable",78,222395.948137839,"Diseases of Heart"
"78 years",78,"Female","F","High school graduate or GED completed",3,9858,"Not Applicable","Not Applicable",78,1201467.5010876,"Diseases of Heart"
"78 years",78,"Female","F","Some college credit, but not a degree",4,2658,"Not Applicable","Not Applicable",78,447085.110653663,"Diseases of Heart"
"78 years",78,"Female","F","Associate degree (AA,AS)",5,1652,"Not Applicable","Not Applicable",78,300533.916061178,"Diseases of Heart"
"78 years",78,"Female","F","Bachelor’s degree (BA, AB, BS)",6,2140,"Not Applicable","Not Applicable",78,523714.897894651,"Diseases of Heart"
"78 years",78,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1067,"Not Applicable","Not Applicable",78,297955.060947145,"Diseases of Heart"
"78 years",78,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,210,"Not Applicable","Not Applicable",78,79996.3771679116,"Diseases of Heart"
"78 years",78,"Male","M","8th grade or less",1,2012,"Not Applicable","Not Applicable",78,101280.921950559,"Diseases of Heart"
"78 years",78,"Male","M","9th through 12th grade with no diploma",2,2424,"Not Applicable","Not Applicable",78,178164.388946402,"Diseases of Heart"
"78 years",78,"Male","M","High school graduate or GED completed",3,11458,"Not Applicable","Not Applicable",78,772953.929051798,"Diseases of Heart"
"78 years",78,"Male","M","Some college credit, but not a degree",4,4027,"Not Applicable","Not Applicable",78,395064.436857383,"Diseases of Heart"
"78 years",78,"Male","M","Associate degree (AA,AS)",5,1833,"Not Applicable","Not Applicable",78,220671.960603582,"Diseases of Heart"
"78 years",78,"Male","M","Bachelor’s degree (BA, AB, BS)",6,3858,"Not Applicable","Not Applicable",78,534750.008701048,"Diseases of Heart"
"78 years",78,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1903,"Not Applicable","Not Applicable",78,242716.87654432,"Diseases of Heart"
"78 years",78,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,914,"Not Applicable","Not Applicable",78,158269.477344908,"Diseases of Heart"
"79 years",79,"Female","F","8th grade or less",1,1603,"Not Applicable","Not Applicable",79,144721.320872012,"Diseases of Heart"
"79 years",79,"Female","F","9th through 12th grade with no diploma",2,2062,"Not Applicable","Not Applicable",79,218259.615060966,"Diseases of Heart"
"79 years",79,"Female","F","High school graduate or GED completed",3,10702,"Not Applicable","Not Applicable",79,1172863.89909897,"Diseases of Heart"
"79 years",79,"Female","F","Some college credit, but not a degree",4,2881,"Not Applicable","Not Applicable",79,482746.179024291,"Diseases of Heart"
"79 years",79,"Female","F","Associate degree (AA,AS)",5,1726,"Not Applicable","Not Applicable",79,230585.830586269,"Diseases of Heart"
"79 years",79,"Female","F","Bachelor’s degree (BA, AB, BS)",6,2199,"Not Applicable","Not Applicable",79,454979.570198011,"Diseases of Heart"
"79 years",79,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1079,"Not Applicable","Not Applicable",79,272167.938888064,"Diseases of Heart"
"79 years",79,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,204,"Not Applicable","Not Applicable",79,56458.6462714141,"Diseases of Heart"
"79 years",79,"Male","M","8th grade or less",1,2150,"Not Applicable","Not Applicable",79,138876.963258662,"Diseases of Heart"
"79 years",79,"Male","M","9th through 12th grade with no diploma",2,2474,"Not Applicable","Not Applicable",79,147691.233952518,"Diseases of Heart"
"79 years",79,"Male","M","High school graduate or GED completed",3,12023,"Not Applicable","Not Applicable",79,666521.012918193,"Diseases of Heart"
"79 years",79,"Male","M","Some college credit, but not a degree",4,4146,"Not Applicable","Not Applicable",79,371610.066107897,"Diseases of Heart"
"79 years",79,"Male","M","Associate degree (AA,AS)",5,1886,"Not Applicable","Not Applicable",79,202860.522104403,"Diseases of Heart"
"79 years",79,"Male","M","Bachelor’s degree (BA, AB, BS)",6,4003,"Not Applicable","Not Applicable",79,467853.49563883,"Diseases of Heart"
"79 years",79,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1980,"Not Applicable","Not Applicable",79,265145.399280659,"Diseases of Heart"
"79 years",79,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1028,"Not Applicable","Not Applicable",79,151020.306738837,"Diseases of Heart"
"< 1 year",0,"Female","F","8th grade or less",1,54,"Not Applicable","Not Applicable",0,5327383,"Neoplasms"
"< 1 year",0,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Male","M","8th grade or less",1,64,"Not Applicable","Not Applicable",0,5568877,"Neoplasms"
"< 1 year",0,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year",0,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"1 year",1,"Female","F","8th grade or less",1,73,"Not Applicable","Not Applicable",1,5370565,"Neoplasms"
"1 year",1,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Male","M","8th grade or less",1,71,"Not Applicable","Not Applicable",1,5615410,"Neoplasms"
"1 year",1,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year",1,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"2 years",2,"Female","F","8th grade or less",1,91,"Not Applicable","Not Applicable",2,5413405,"Neoplasms"
"2 years",2,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Male","M","8th grade or less",1,96,"Not Applicable","Not Applicable",2,5659268,"Neoplasms"
"2 years",2,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years",2,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"3 years",3,"Female","F","8th grade or less",1,86,"Not Applicable","Not Applicable",3,5548879,"Neoplasms"
"3 years",3,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Male","M","8th grade or less",1,122,"Not Applicable","Not Applicable",3,5798507,"Neoplasms"
"3 years",3,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years",3,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"4 years",4,"Female","F","8th grade or less",1,104,"Not Applicable","Not Applicable",4,5657773,"Neoplasms"
"4 years",4,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Male","M","8th grade or less",1,101,"Not Applicable","Not Applicable",4,5916784,"Neoplasms"
"4 years",4,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years",4,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"5 years",5,"Female","F","8th grade or less",1,119,"Not Applicable","Not Applicable",5,5787753,"Neoplasms"
"5 years",5,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Male","M","8th grade or less",1,115,"Not Applicable","Not Applicable",5,6055775,"Neoplasms"
"5 years",5,"Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years",5,"Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"6 years",6,"Female","F","8th grade or less",1,95,"Not Applicable","Not Applicable",6,5894337,"Neoplasms"
"6 years",6,"Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years",6,"Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years",6,"Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years",6,"Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years",6,"Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years",6,"Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
