"Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Education","Education Code","Deaths","Population","Crude Rate","AGE","population","Cause"
"73 years","73","Male","M","Some college credit, but not a degree",4,4557,"Not Applicable","Not Applicable",73,705871.1517,"Diseases of Heart"
"73 years","73","Male","M","Associate degree (AA,AS)",5,2160,"Not Applicable","Not Applicable",73,396905.6724,"Diseases of Heart"
"73 years","73","Male","M","Bachelor’s degree (BA, AB, BS)",6,4040,"Not Applicable","Not Applicable",73,853430.7534,"Diseases of Heart"
"73 years","73","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1541,"Not Applicable","Not Applicable",73,519630.2838,"Diseases of Heart"
"73 years","73","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,681,"Not Applicable","Not Applicable",73,243739.4022,"Diseases of Heart"
"74 years","74","Female","F","8th grade or less",1,1137,"Not Applicable","Not Applicable",74,170261.5738,"Diseases of Heart"
"74 years","74","Female","F","9th through 12th grade with no diploma",2,1601,"Not Applicable","Not Applicable",74,256712.9554,"Diseases of Heart"
"74 years","74","Female","F","High school graduate or GED completed",3,8522,"Not Applicable","Not Applicable",74,1381566.0243,"Diseases of Heart"
"74 years","74","Female","F","Some college credit, but not a degree",4,2768,"Not Applicable","Not Applicable",74,864107.7844,"Diseases of Heart"
"74 years","74","Female","F","Associate degree (AA,AS)",5,1754,"Not Applicable","Not Applicable",74,508918.6809,"Diseases of Heart"
"74 years","74","Female","F","Bachelor’s degree (BA, AB, BS)",6,2069,"Not Applicable","Not Applicable",74,808536.6953,"Diseases of Heart"
"74 years","74","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1039,"Not Applicable","Not Applicable",74,457555.7953,"Diseases of Heart"
"74 years","74","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,160,"Not Applicable","Not Applicable",74,133563.7039,"Diseases of Heart"
"74 years","74","Male","M","8th grade or less",1,1754,"Not Applicable","Not Applicable",74,164700.713,"Diseases of Heart"
"74 years","74","Male","M","9th through 12th grade with no diploma",2,2258,"Not Applicable","Not Applicable",74,178969.9907,"Diseases of Heart"
"74 years","74","Male","M","High school graduate or GED completed",3,11685,"Not Applicable","Not Applicable",74,1077879.881,"Diseases of Heart"
"74 years","74","Male","M","Some college credit, but not a degree",4,4636,"Not Applicable","Not Applicable",74,632954.4418,"Diseases of Heart"
"74 years","74","Male","M","Associate degree (AA,AS)",5,2303,"Not Applicable","Not Applicable",74,414468.8392,"Diseases of Heart"
"74 years","74","Male","M","Bachelor’s degree (BA, AB, BS)",6,4294,"Not Applicable","Not Applicable",74,794449.7777,"Diseases of Heart"
"74 years","74","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1829,"Not Applicable","Not Applicable",74,444278.4945,"Diseases of Heart"
"74 years","74","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,785,"Not Applicable","Not Applicable",74,268056.3058,"Diseases of Heart"
"75 years","75","Female","F","8th grade or less",1,1281,"Not Applicable","Not Applicable",75,179552.9837,"Diseases of Heart"
"75 years","75","Female","F","9th through 12th grade with no diploma",2,1697,"Not Applicable","Not Applicable",75,176027.5742,"Diseases of Heart"
"75 years","75","Female","F","High school graduate or GED completed",3,8867,"Not Applicable","Not Applicable",75,1284942.6298,"Diseases of Heart"
"75 years","75","Female","F","Some college credit, but not a degree",4,2789,"Not Applicable","Not Applicable",75,715350.566,"Diseases of Heart"
"75 years","75","Female","F","Associate degree (AA,AS)",5,1698,"Not Applicable","Not Applicable",75,431830.3351,"Diseases of Heart"
"75 years","75","Female","F","Bachelor’s degree (BA, AB, BS)",6,2040,"Not Applicable","Not Applicable",75,643760.5483,"Diseases of Heart"
"75 years","75","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1033,"Not Applicable","Not Applicable",75,407340.1826,"Diseases of Heart"
"75 years","75","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,181,"Not Applicable","Not Applicable",75,125682.1281,"Diseases of Heart"
"75 years","75","Male","M","8th grade or less",1,1799,"Not Applicable","Not Applicable",75,163071.1638,"Diseases of Heart"
"75 years","75","Male","M","9th through 12th grade with no diploma",2,2226,"Not Applicable","Not Applicable",75,165157.2859,"Diseases of Heart"
"75 years","75","Male","M","High school graduate or GED completed",3,11500,"Not Applicable","Not Applicable",75,910077.0261,"Diseases of Heart"
"75 years","75","Male","M","Some college credit, but not a degree",4,4435,"Not Applicable","Not Applicable",75,559289.622,"Diseases of Heart"
"75 years","75","Male","M","Associate degree (AA,AS)",5,2144,"Not Applicable","Not Applicable",75,302024.3664,"Diseases of Heart"
"75 years","75","Male","M","Bachelor’s degree (BA, AB, BS)",6,4340,"Not Applicable","Not Applicable",75,696168.0973,"Diseases of Heart"
"75 years","75","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1914,"Not Applicable","Not Applicable",75,382639.2528,"Diseases of Heart"
"75 years","75","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,845,"Not Applicable","Not Applicable",75,217571.3336,"Diseases of Heart"
"76 years","76","Female","F","8th grade or less",1,1337,"Not Applicable","Not Applicable",76,162449.0287,"Diseases of Heart"
"76 years","76","Female","F","9th through 12th grade with no diploma",2,1780,"Not Applicable","Not Applicable",76,214340.1508,"Diseases of Heart"
"76 years","76","Female","F","High school graduate or GED completed",3,9017,"Not Applicable","Not Applicable",76,1191275.5963,"Diseases of Heart"
"76 years","76","Female","F","Some college credit, but not a degree",4,2732,"Not Applicable","Not Applicable",76,524763.2173,"Diseases of Heart"
"76 years","76","Female","F","Associate degree (AA,AS)",5,1637,"Not Applicable","Not Applicable",76,354419.0131,"Diseases of Heart"
"76 years","76","Female","F","Bachelor’s degree (BA, AB, BS)",6,2048,"Not Applicable","Not Applicable",76,682634.9341,"Diseases of Heart"
"76 years","76","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,998,"Not Applicable","Not Applicable",76,346401.7498,"Diseases of Heart"
"76 years","76","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,210,"Not Applicable","Not Applicable",76,104657.453,"Diseases of Heart"
"76 years","76","Male","M","8th grade or less",1,1936,"Not Applicable","Not Applicable",76,150879.1842,"Diseases of Heart"
"76 years","76","Male","M","9th through 12th grade with no diploma",2,2216,"Not Applicable","Not Applicable",76,128093.74,"Diseases of Heart"
"76 years","76","Male","M","High school graduate or GED completed",3,11274,"Not Applicable","Not Applicable",76,920883.7981,"Diseases of Heart"
"76 years","76","Male","M","Some college credit, but not a degree",4,4254,"Not Applicable","Not Applicable",76,495965.9181,"Diseases of Heart"
"76 years","76","Male","M","Associate degree (AA,AS)",5,2018,"Not Applicable","Not Applicable",76,212027.1834,"Diseases of Heart"
"76 years","76","Male","M","Bachelor’s degree (BA, AB, BS)",6,4027,"Not Applicable","Not Applicable",76,713833.178,"Diseases of Heart"
"76 years","76","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1762,"Not Applicable","Not Applicable",76,379891.1881,"Diseases of Heart"
"76 years","76","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,821,"Not Applicable","Not Applicable",76,222959.39,"Diseases of Heart"
"77 years","77","Female","F","8th grade or less",1,1463,"Not Applicable","Not Applicable",77,193705.9593,"Diseases of Heart"
"77 years","77","Female","F","9th through 12th grade with no diploma",2,1733,"Not Applicable","Not Applicable",77,213658.657,"Diseases of Heart"
"77 years","77","Female","F","High school graduate or GED completed",3,8759,"Not Applicable","Not Applicable",77,1064516.4489,"Diseases of Heart"
"77 years","77","Female","F","Some college credit, but not a degree",4,2574,"Not Applicable","Not Applicable",77,459050.0424,"Diseases of Heart"
"77 years","77","Female","F","Associate degree (AA,AS)",5,1589,"Not Applicable","Not Applicable",77,303370.9868,"Diseases of Heart"
"77 years","77","Female","F","Bachelor’s degree (BA, AB, BS)",6,1999,"Not Applicable","Not Applicable",77,529227.3596,"Diseases of Heart"
"77 years","77","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,995,"Not Applicable","Not Applicable",77,328497.0922,"Diseases of Heart"
"77 years","77","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,193,"Not Applicable","Not Applicable",77,97820.6603,"Diseases of Heart"
"77 years","77","Male","M","8th grade or less",1,1977,"Not Applicable","Not Applicable",77,162721.5712,"Diseases of Heart"
"77 years","77","Male","M","9th through 12th grade with no diploma",2,2249,"Not Applicable","Not Applicable",77,189751.8717,"Diseases of Heart"
"77 years","77","Male","M","High school graduate or GED completed",3,10780,"Not Applicable","Not Applicable",77,807028.9885,"Diseases of Heart"
"77 years","77","Male","M","Some college credit, but not a degree",4,3885,"Not Applicable","Not Applicable",77,337677.0066,"Diseases of Heart"
"77 years","77","Male","M","Associate degree (AA,AS)",5,1784,"Not Applicable","Not Applicable",77,207360.9925,"Diseases of Heart"
"77 years","77","Male","M","Bachelor’s degree (BA, AB, BS)",6,3702,"Not Applicable","Not Applicable",77,503454.3389,"Diseases of Heart"
"77 years","77","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1728,"Not Applicable","Not Applicable",77,350198.6377,"Diseases of Heart"
"77 years","77","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,879,"Not Applicable","Not Applicable",77,192507.1124,"Diseases of Heart"
"78 years","78","Female","F","8th grade or less",1,1593,"Not Applicable","Not Applicable",78,134951.3197,"Diseases of Heart"
"78 years","78","Female","F","9th through 12th grade with no diploma",2,1894,"Not Applicable","Not Applicable",78,205005.4177,"Diseases of Heart"
"78 years","78","Female","F","High school graduate or GED completed",3,9858,"Not Applicable","Not Applicable",78,1107517.2411,"Diseases of Heart"
"78 years","78","Female","F","Some college credit, but not a degree",4,2658,"Not Applicable","Not Applicable",78,412124.729,"Diseases of Heart"
"78 years","78","Female","F","Associate degree (AA,AS)",5,1652,"Not Applicable","Not Applicable",78,277033.2891,"Diseases of Heart"
"78 years","78","Female","F","Bachelor’s degree (BA, AB, BS)",6,2140,"Not Applicable","Not Applicable",78,482762.3538,"Diseases of Heart"
"78 years","78","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1067,"Not Applicable","Not Applicable",78,274656.0908,"Diseases of Heart"
"78 years","78","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,210,"Not Applicable","Not Applicable",78,73740.96,"Diseases of Heart"
"78 years","78","Male","M","8th grade or less",1,2012,"Not Applicable","Not Applicable",78,102103.3949,"Diseases of Heart"
"78 years","78","Male","M","9th through 12th grade with no diploma",2,2424,"Not Applicable","Not Applicable",78,179611.2102,"Diseases of Heart"
"78 years","78","Male","M","High school graduate or GED completed",3,11458,"Not Applicable","Not Applicable",78,779230.8634,"Diseases of Heart"
"78 years","78","Male","M","Some college credit, but not a degree",4,4027,"Not Applicable","Not Applicable",78,398272.6404,"Diseases of Heart"
"78 years","78","Male","M","Associate degree (AA,AS)",5,1833,"Not Applicable","Not Applicable",78,222463.9735,"Diseases of Heart"
"78 years","78","Male","M","Bachelor’s degree (BA, AB, BS)",6,3858,"Not Applicable","Not Applicable",78,539092.5582,"Diseases of Heart"
"78 years","78","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1903,"Not Applicable","Not Applicable",78,244687.9098,"Diseases of Heart"
"78 years","78","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,914,"Not Applicable","Not Applicable",78,159554.7378,"Diseases of Heart"
"79 years","79","Female","F","8th grade or less",1,1603,"Not Applicable","Not Applicable",79,133226.9784,"Diseases of Heart"
"79 years","79","Female","F","9th through 12th grade with no diploma",2,2062,"Not Applicable","Not Applicable",79,200924.569,"Diseases of Heart"
"79 years","79","Female","F","High school graduate or GED completed",3,10702,"Not Applicable","Not Applicable",79,1079710.3869,"Diseases of Heart"
"79 years","79","Female","F","Some college credit, but not a degree",4,2881,"Not Applicable","Not Applicable",79,444404.5589,"Diseases of Heart"
"79 years","79","Female","F","Associate degree (AA,AS)",5,1726,"Not Applicable","Not Applicable",79,212271.7875,"Diseases of Heart"
"79 years","79","Female","F","Bachelor’s degree (BA, AB, BS)",6,2199,"Not Applicable","Not Applicable",79,418843.2845,"Diseases of Heart"
"79 years","79","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1079,"Not Applicable","Not Applicable",79,250551.2795,"Diseases of Heart"
"79 years","79","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,204,"Not Applicable","Not Applicable",79,51974.4762,"Diseases of Heart"
"79 years","79","Male","M","8th grade or less",1,2150,"Not Applicable","Not Applicable",79,134019.964,"Diseases of Heart"
"79 years","79","Male","M","9th through 12th grade with no diploma",2,2474,"Not Applicable","Not Applicable",79,142525.9697,"Diseases of Heart"
"79 years","79","Male","M","High school graduate or GED completed",3,12023,"Not Applicable","Not Applicable",79,643210.5085,"Diseases of Heart"
"79 years","79","Male","M","Some college credit, but not a degree",4,4146,"Not Applicable","Not Applicable",79,358613.5995,"Diseases of Heart"
"79 years","79","Male","M","Associate degree (AA,AS)",5,1886,"Not Applicable","Not Applicable",79,195765.8004,"Diseases of Heart"
"79 years","79","Male","M","Bachelor’s degree (BA, AB, BS)",6,4003,"Not Applicable","Not Applicable",79,451491.0693,"Diseases of Heart"
"79 years","79","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,1980,"Not Applicable","Not Applicable",79,255872.3638,"Diseases of Heart"
"79 years","79","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1028,"Not Applicable","Not Applicable",79,145738.6135,"Diseases of Heart"
"< 1 year","0","Female","F","8th grade or less",1,54,"Not Applicable","Not Applicable",0,5090392.7108,"Neoplasms"
"< 1 year","0","Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Male","M","8th grade or less",1,64,"Not Applicable","Not Applicable",0,5262248.8778,"Neoplasms"
"< 1 year","0","Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"< 1 year","0","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",0,NA,"Neoplasms"
"1 year","1","Female","F","8th grade or less",1,73,"Not Applicable","Not Applicable",1,5575626.7695,"Neoplasms"
"1 year","1","Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Male","M","8th grade or less",1,71,"Not Applicable","Not Applicable",1,5892279.1708,"Neoplasms"
"1 year","1","Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"1 year","1","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",1,NA,"Neoplasms"
"2 years","2","Female","F","8th grade or less",1,91,"Not Applicable","Not Applicable",2,5401600.6354,"Neoplasms"
"2 years","2","Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Male","M","8th grade or less",1,96,"Not Applicable","Not Applicable",2,5667083.886,"Neoplasms"
"2 years","2","Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"2 years","2","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",2,NA,"Neoplasms"
"3 years","3","Female","F","8th grade or less",1,86,"Not Applicable","Not Applicable",3,5544001.8594,"Neoplasms"
"3 years","3","Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Male","M","8th grade or less",1,122,"Not Applicable","Not Applicable",3,5896056.3271,"Neoplasms"
"3 years","3","Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"3 years","3","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",3,NA,"Neoplasms"
"4 years","4","Female","F","8th grade or less",1,104,"Not Applicable","Not Applicable",4,5749806.9832,"Neoplasms"
"4 years","4","Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Male","M","8th grade or less",1,101,"Not Applicable","Not Applicable",4,5895135.2179,"Neoplasms"
"4 years","4","Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"4 years","4","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",4,NA,"Neoplasms"
"5 years","5","Female","F","8th grade or less",1,119,"Not Applicable","Not Applicable",5,5839004.5962,"Neoplasms"
"5 years","5","Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Male","M","8th grade or less",1,115,"Not Applicable","Not Applicable",5,5988991.9673,"Neoplasms"
"5 years","5","Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Male","M","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Male","M","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Male","M","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Male","M","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"5 years","5","Male","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",5,NA,"Neoplasms"
"6 years","6","Female","F","8th grade or less",1,95,"Not Applicable","Not Applicable",6,5890651.4397,"Neoplasms"
"6 years","6","Female","F","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years","6","Female","F","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years","6","Female","F","Some college credit, but not a degree",4,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years","6","Female","F","Associate degree (AA,AS)",5,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years","6","Female","F","Bachelor’s degree (BA, AB, BS)",6,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years","6","Female","F","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years","6","Female","F","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years","6","Male","M","8th grade or less",1,126,"Not Applicable","Not Applicable",6,6176781.3608,"Neoplasms"
"6 years","6","Male","M","9th through 12th grade with no diploma",2,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
"6 years","6","Male","M","High school graduate or GED completed",3,0,"Not Applicable","Not Applicable",6,NA,"Neoplasms"
