"Ten-Year Age Groups","Sex","Education","Deaths","adjusted_population","Cause"
"55-64 years","Male","Some college credit, but not a degree",22828,8682103.64719043,"Diseases of Heart"
"55-64 years","Male","Associate degree (AA,AS)",10857,6327848.94446223,"Diseases of Heart"
"55-64 years","Male","Bachelor’s degree (BA, AB, BS)",15197,12586037.8781127,"Diseases of Heart"
"55-64 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",4564,5333229.13854023,"Diseases of Heart"
"55-64 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1877,2393819.0318425,"Diseases of Heart"
"65-74 years","Female","8th grade or less",7969,2120525.80891785,"Diseases of Heart"
"65-74 years","Female","9th through 12th grade with no diploma",12496,2688427.81949305,"Diseases of Heart"
"65-74 years","Female","High school graduate or GED completed",64472,16452837.4280478,"Diseases of Heart"
"65-74 years","Female","Some college credit, but not a degree",21319,8854131.33115233,"Diseases of Heart"
"65-74 years","Female","Associate degree (AA,AS)",14151,6308239.90229795,"Diseases of Heart"
"65-74 years","Female","Bachelor’s degree (BA, AB, BS)",15871,10404834.8649365,"Diseases of Heart"
"65-74 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",6861,5731054.0266619,"Diseases of Heart"
"65-74 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1268,1464955.81849258,"Diseases of Heart"
"65-74 years","Male","8th grade or less",14237,1896511.6039099,"Diseases of Heart"
"65-74 years","Male","9th through 12th grade with no diploma",23386,2610344.03672718,"Diseases of Heart"
"65-74 years","Male","High school graduate or GED completed",112863,13392193.7794162,"Diseases of Heart"
"65-74 years","Male","Some college credit, but not a degree",40000,8005786.71886247,"Diseases of Heart"
"65-74 years","Male","Associate degree (AA,AS)",18954,4960732.41555106,"Diseases of Heart"
"65-74 years","Male","Bachelor’s degree (BA, AB, BS)",31841,9736039.54008081,"Diseases of Heart"
"65-74 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",11342,4971393.21261619,"Diseases of Heart"
"65-74 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",5280,2541836.69283622,"Diseases of Heart"
"75-84 years","Female","8th grade or less",17940,1512725.3668373,"Diseases of Heart"
"75-84 years","Female","9th through 12th grade with no diploma",20773,1914570.78559303,"Diseases of Heart"
"75-84 years","Female","High school graduate or GED completed",107068,10480103.7643468,"Diseases of Heart"
"75-84 years","Female","Some college credit, but not a degree",27901,4560777.23003086,"Diseases of Heart"
"75-84 years","Female","Associate degree (AA,AS)",16988,2594197.06458642,"Diseases of Heart"
"75-84 years","Female","Bachelor’s degree (BA, AB, BS)",22194,4611071.821562,"Diseases of Heart"
"75-84 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",10851,2566418.42210808,"Diseases of Heart"
"75-84 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2036,788994.54493556,"Diseases of Heart"
"75-84 years","Male","8th grade or less",21805,1221045.72436518,"Diseases of Heart"
"75-84 years","Male","9th through 12th grade with no diploma",23477,1408094.21497689,"Diseases of Heart"
"75-84 years","Male","High school graduate or GED completed",115457,6622366.07663903,"Diseases of Heart"
"75-84 years","Male","Some college credit, but not a degree",39594,3350380.84915807,"Diseases of Heart"
"75-84 years","Male","Associate degree (AA,AS)",18065,1734172.30368707,"Diseases of Heart"
"75-84 years","Male","Bachelor’s degree (BA, AB, BS)",39345,4497166.69728814,"Diseases of Heart"
"75-84 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",19144,2623804.12136077,"Diseases of Heart"
"75-84 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",10116,1608828.01252484,"Diseases of Heart"
"85+ years","Female","8th grade or less",47027,1158959.04981759,"Diseases of Heart"
"85+ years","Female","9th through 12th grade with no diploma",36325,851019.241694978,"Diseases of Heart"
"85+ years","Female","High school graduate or GED completed",208707,5068371.43609068,"Diseases of Heart"
"85+ years","Female","Some college credit, but not a degree",44279,1524909.64468739,"Diseases of Heart"
"85+ years","Female","Associate degree (AA,AS)",25290,813664.659639271,"Diseases of Heart"
"85+ years","Female","Bachelor’s degree (BA, AB, BS)",42098,1563294.71095639,"Diseases of Heart"
"85+ years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",17951,771485.97123678,"Diseases of Heart"
"85+ years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3340,161168.285876917,"Diseases of Heart"
"85+ years","Male","8th grade or less",32002,575226.758177157,"Diseases of Heart"
"85+ years","Male","9th through 12th grade with no diploma",21778,477700.208441055,"Diseases of Heart"
"85+ years","Male","High school graduate or GED completed",112532,2077834.21506853,"Diseases of Heart"
"85+ years","Male","Some college credit, but not a degree",33803,839353.613228105,"Diseases of Heart"
"85+ years","Male","Associate degree (AA,AS)",14842,424853.409945861,"Diseases of Heart"
"85+ years","Male","Bachelor’s degree (BA, AB, BS)",48097,1240142.0354069,"Diseases of Heart"
"85+ years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",23177,652963.748738737,"Diseases of Heart"
"85+ years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",16163,455657.010993651,"Diseases of Heart"
"< 1 year","Female","8th grade or less",54,5327383,"Neoplasms"
"< 1 year","Female","9th through 12th grade with no diploma",0,NA,"Neoplasms"
"< 1 year","Female","High school graduate or GED completed",0,NA,"Neoplasms"
"< 1 year","Female","Some college credit, but not a degree",0,NA,"Neoplasms"
"< 1 year","Female","Associate degree (AA,AS)",0,NA,"Neoplasms"
"< 1 year","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Neoplasms"
"< 1 year","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Neoplasms"
"< 1 year","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Neoplasms"
"< 1 year","Male","8th grade or less",64,5568877,"Neoplasms"
"< 1 year","Male","9th through 12th grade with no diploma",0,NA,"Neoplasms"
"< 1 year","Male","High school graduate or GED completed",0,NA,"Neoplasms"
"< 1 year","Male","Some college credit, but not a degree",0,NA,"Neoplasms"
"< 1 year","Male","Associate degree (AA,AS)",0,NA,"Neoplasms"
"< 1 year","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Neoplasms"
"< 1 year","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Neoplasms"
"< 1 year","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Neoplasms"
"1-4 years","Female","8th grade or less",354,21990622,"Neoplasms"
"1-4 years","Female","9th through 12th grade with no diploma",0,NA,"Neoplasms"
"1-4 years","Female","High school graduate or GED completed",0,NA,"Neoplasms"
"1-4 years","Female","Some college credit, but not a degree",0,NA,"Neoplasms"
"1-4 years","Female","Associate degree (AA,AS)",0,NA,"Neoplasms"
"1-4 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Neoplasms"
"1-4 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Neoplasms"
"1-4 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Neoplasms"
"1-4 years","Male","8th grade or less",390,22989969,"Neoplasms"
"1-4 years","Male","9th through 12th grade with no diploma",0,NA,"Neoplasms"
"1-4 years","Male","High school graduate or GED completed",0,NA,"Neoplasms"
"1-4 years","Male","Some college credit, but not a degree",0,NA,"Neoplasms"
"1-4 years","Male","Associate degree (AA,AS)",0,NA,"Neoplasms"
"1-4 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Neoplasms"
"1-4 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Neoplasms"
"1-4 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Neoplasms"
"5-14 years","Female","8th grade or less",1078,60354869,"Neoplasms"
"5-14 years","Female","9th through 12th grade with no diploma",55,NA,"Neoplasms"
"5-14 years","Female","High school graduate or GED completed",0,NA,"Neoplasms"
"5-14 years","Female","Some college credit, but not a degree",0,NA,"Neoplasms"
"5-14 years","Female","Associate degree (AA,AS)",0,NA,"Neoplasms"
"5-14 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Neoplasms"
"5-14 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Neoplasms"
"5-14 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Neoplasms"
"5-14 years","Male","8th grade or less",1260,63270818,"Neoplasms"
"5-14 years","Male","9th through 12th grade with no diploma",53,NA,"Neoplasms"
"5-14 years","Male","High school graduate or GED completed",0,NA,"Neoplasms"
"5-14 years","Male","Some college credit, but not a degree",0,NA,"Neoplasms"
"5-14 years","Male","Associate degree (AA,AS)",0,NA,"Neoplasms"
"5-14 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Neoplasms"
"5-14 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Neoplasms"
"5-14 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Neoplasms"
"15-24 years","Female","8th grade or less",61,3231970.38875783,"Neoplasms"
"15-24 years","Female","9th through 12th grade with no diploma",488,22125941.0993076,"Neoplasms"
"15-24 years","Female","High school graduate or GED completed",583,13583288.1740219,"Neoplasms"
"15-24 years","Female","Some college credit, but not a degree",357,15328451.6994566,"Neoplasms"
"15-24 years","Female","Associate degree (AA,AS)",70,3129917.1683501,"Neoplasms"
"15-24 years","Female","Bachelor’s degree (BA, AB, BS)",90,6216340.19976223,"Neoplasms"
"15-24 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",5,538143.462980643,"Neoplasms"
"15-24 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,59142.8073630288,"Neoplasms"
"15-24 years","Male","8th grade or less",113,3927319.41928984,"Neoplasms"
"15-24 years","Male","9th through 12th grade with no diploma",771,23773989.1519258,"Neoplasms"
"15-24 years","Male","High school graduate or GED completed",995,17725505.0077499,"Neoplasms"
"15-24 years","Male","Some college credit, but not a degree",455,14176193.4741762,"Neoplasms"
"15-24 years","Male","Associate degree (AA,AS)",63,2525692.02533875,"Neoplasms"
"15-24 years","Male","Bachelor’s degree (BA, AB, BS)",125,4583401.48356485,"Neoplasms"
"15-24 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",5,333993.224039214,"Neoplasms"
"15-24 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,57597.2139154368,"Neoplasms"
"25-34 years","Female","8th grade or less",119,927808.745423385,"Neoplasms"
"25-34 years","Female","9th through 12th grade with no diploma",354,2600102.46335049,"Neoplasms"
"25-34 years","Female","High school graduate or GED completed",1821,15454810.2395185,"Neoplasms"
"25-34 years","Female","Some college credit, but not a degree",960,10062467.562458,"Neoplasms"
"25-34 years","Female","Associate degree (AA,AS)",535,7284464.92503135,"Neoplasms"
"25-34 years","Female","Bachelor’s degree (BA, AB, BS)",1107,20690336.5449832,"Neoplasms"
"25-34 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",377,8162636.91368959,"Neoplasms"
"25-34 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",88,2054182.60554548,"Neoplasms"
"25-34 years","Male","8th grade or less",181,1378375.39692527,"Neoplasms"
"25-34 years","Male","9th through 12th grade with no diploma",494,3278271.20278481,"Neoplasms"
"25-34 years","Male","High school graduate or GED completed",2232,21247492.1730569,"Neoplasms"
"25-34 years","Male","Some college credit, but not a degree",893,11406602.3586941,"Neoplasms"
"25-34 years","Male","Associate degree (AA,AS)",419,6376069.08534772,"Neoplasms"
"25-34 years","Male","Bachelor’s degree (BA, AB, BS)",844,18615037.9833857,"Neoplasms"
"25-34 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",198,5273396.62222859,"Neoplasms"
"25-34 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",72,1726866.17757681,"Neoplasms"
"35-44 years","Female","8th grade or less",688,1940130.01330211,"Neoplasms"
"35-44 years","Female","9th through 12th grade with no diploma",1517,3055354.26941272,"Neoplasms"
"35-44 years","Female","High school graduate or GED completed",6137,13478992.7935605,"Neoplasms"
"35-44 years","Female","Some college credit, but not a degree",2810,8662459.42469967,"Neoplasms"
"35-44 years","Female","Associate degree (AA,AS)",1974,7377549.9369183,"Neoplasms"
"35-44 years","Female","Bachelor’s degree (BA, AB, BS)",3619,17779824.5289747,"Neoplasms"
"35-44 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",1713,10011914.6221708,"Neoplasms"
"35-44 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",454,2843648.41096116,"Neoplasms"
"35-44 years","Male","8th grade or less",615,2383521.86322579,"Neoplasms"
"35-44 years","Male","9th through 12th grade with no diploma",1451,3881613.09488886,"Neoplasms"
"35-44 years","Male","High school graduate or GED completed",5783,18626412.1306341,"Neoplasms"
"35-44 years","Male","Some college credit, but not a degree",2194,9287352.1341086,"Neoplasms"
"35-44 years","Male","Associate degree (AA,AS)",1172,6353577.17100071,"Neoplasms"
"35-44 years","Male","Bachelor’s degree (BA, AB, BS)",2116,16220777.7222767,"Neoplasms"
"35-44 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",733,6833556.88562006,"Neoplasms"
"35-44 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",306,2753226.99824523,"Neoplasms"
"45-54 years","Female","8th grade or less",2247,2072085.49973875,"Neoplasms"
"45-54 years","Female","9th through 12th grade with no diploma",4036,2806803.62000732,"Neoplasms"
"45-54 years","Female","High school graduate or GED completed",17998,14323360.2124866,"Neoplasms"
"45-54 years","Female","Some college credit, but not a degree",7674,8056834.24055204,"Neoplasms"
"45-54 years","Female","Associate degree (AA,AS)",5596,7134393.79017566,"Neoplasms"
"45-54 years","Female","Bachelor’s degree (BA, AB, BS)",9006,15361099.6753744,"Neoplasms"
"45-54 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",4103,8772257.20219829,"Neoplasms"
"45-54 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",934,2308329.75946696,"Neoplasms"
"45-54 years","Male","8th grade or less",2241,2446323.54011485,"Neoplasms"
"45-54 years","Male","9th through 12th grade with no diploma",5495,3511993.44289705,"Neoplasms"
"45-54 years","Male","High school graduate or GED completed",20184,18000257.0073115,"Neoplasms"
"45-54 years","Male","Some college credit, but not a degree",6510,8161050.80197409,"Neoplasms"
"45-54 years","Male","Associate degree (AA,AS)",3438,5864485.46701162,"Neoplasms"
"45-54 years","Male","Bachelor’s degree (BA, AB, BS)",5968,14152259.5676181,"Neoplasms"
"45-54 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",2203,6218967.50228772,"Neoplasms"
"45-54 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",800,2423360.67078506,"Neoplasms"
"55-64 years","Female","8th grade or less",5820,2320601.29321048,"Neoplasms"
"55-64 years","Female","9th through 12th grade with no diploma",12119,3220697.45682495,"Neoplasms"
"55-64 years","Female","High school graduate or GED completed",60107,18982305.014268,"Neoplasms"
"55-64 years","Female","Some college credit, but not a degree",21578,9720014.44568931,"Neoplasms"
"55-64 years","Female","Associate degree (AA,AS)",15498,8085311.59225438,"Neoplasms"
"55-64 years","Female","Bachelor’s degree (BA, AB, BS)",20221,14270431.7026246,"Neoplasms"
"55-64 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7795,6278204.12944329,"Neoplasms"
"55-64 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2037,1726280.36568503,"Neoplasms"
"55-64 years","Male","8th grade or less",8433,2435886.45259838,"Neoplasms"
"55-64 years","Male","9th through 12th grade with no diploma",21126,3955620.01090162,"Neoplasms"
"55-64 years","Male","High school graduate or GED completed",78226,20424520.8963519,"Neoplasms"
"55-64 years","Male","Some college credit, but not a degree",21132,8682103.64719043,"Neoplasms"
"55-64 years","Male","Associate degree (AA,AS)",11001,6327848.94446223,"Neoplasms"
"55-64 years","Male","Bachelor’s degree (BA, AB, BS)",16577,12586037.8781127,"Neoplasms"
"55-64 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",5482,5333229.13854023,"Neoplasms"
"55-64 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2498,2393819.0318425,"Neoplasms"
"65-74 years","Female","8th grade or less",10403,2120525.80891785,"Neoplasms"
"65-74 years","Female","9th through 12th grade with no diploma",16437,2688427.81949305,"Neoplasms"
"65-74 years","Female","High school graduate or GED completed",99113,16452837.4280478,"Neoplasms"
"65-74 years","Female","Some college credit, but not a degree",35469,8854131.33115233,"Neoplasms"
"65-74 years","Female","Associate degree (AA,AS)",24627,6308239.90229795,"Neoplasms"
"65-74 years","Female","Bachelor’s degree (BA, AB, BS)",33355,10404834.8649365,"Neoplasms"
"65-74 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",16294,5731054.0266619,"Neoplasms"
"65-74 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3577,1464955.81849258,"Neoplasms"
"65-74 years","Male","8th grade or less",14592,1896511.6039099,"Neoplasms"
"65-74 years","Male","9th through 12th grade with no diploma",24965,2610344.03672718,"Neoplasms"
"65-74 years","Male","High school graduate or GED completed",121228,13392193.7794162,"Neoplasms"
"65-74 years","Male","Some college credit, but not a degree",44958,8005786.71886247,"Neoplasms"
"65-74 years","Male","Associate degree (AA,AS)",22633,4960732.41555106,"Neoplasms"
"65-74 years","Male","Bachelor’s degree (BA, AB, BS)",39881,9736039.54008081,"Neoplasms"
"65-74 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",15243,4971393.21261619,"Neoplasms"
"65-74 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7302,2541836.69283622,"Neoplasms"
"75-84 years","Female","8th grade or less",14601,1512725.3668373,"Neoplasms"
"75-84 years","Female","9th through 12th grade with no diploma",17611,1914570.78559303,"Neoplasms"
"75-84 years","Female","High school graduate or GED completed",107135,10480103.7643468,"Neoplasms"
"75-84 years","Female","Some college credit, but not a degree",30951,4560777.23003086,"Neoplasms"
"75-84 years","Female","Associate degree (AA,AS)",19233,2594197.06458642,"Neoplasms"
"75-84 years","Female","Bachelor’s degree (BA, AB, BS)",29373,4611071.821562,"Neoplasms"
"75-84 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",15321,2566418.42210808,"Neoplasms"
"75-84 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3157,788994.54493556,"Neoplasms"
"75-84 years","Male","8th grade or less",18318,1221045.72436518,"Neoplasms"
"75-84 years","Male","9th through 12th grade with no diploma",20530,1408094.21497689,"Neoplasms"
"75-84 years","Male","High school graduate or GED completed",103417,6622366.07663903,"Neoplasms"
"75-84 years","Male","Some college credit, but not a degree",37629,3350380.84915807,"Neoplasms"
"75-84 years","Male","Associate degree (AA,AS)",17964,1734172.30368707,"Neoplasms"
"75-84 years","Male","Bachelor’s degree (BA, AB, BS)",40613,4497166.69728814,"Neoplasms"
"75-84 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",20627,2623804.12136077,"Neoplasms"
"75-84 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",11403,1608828.01252484,"Neoplasms"
"85+ years","Female","8th grade or less",14315,1158959.04981759,"Neoplasms"
"85+ years","Female","9th through 12th grade with no diploma",12177,851019.241694978,"Neoplasms"
"85+ years","Female","High school graduate or GED completed",74691,5068371.43609068,"Neoplasms"
"85+ years","Female","Some college credit, but not a degree",17450,1524909.64468739,"Neoplasms"
"85+ years","Female","Associate degree (AA,AS)",9975,813664.659639271,"Neoplasms"
"85+ years","Female","Bachelor’s degree (BA, AB, BS)",17905,1563294.71095639,"Neoplasms"
"85+ years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",7877,771485.97123678,"Neoplasms"
"85+ years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1648,161168.285876917,"Neoplasms"
"85+ years","Male","8th grade or less",14825,575226.758177157,"Neoplasms"
"85+ years","Male","9th through 12th grade with no diploma",10336,477700.208441055,"Neoplasms"
"85+ years","Male","High school graduate or GED completed",53849,2077834.21506853,"Neoplasms"
"85+ years","Male","Some college credit, but not a degree",16704,839353.613228105,"Neoplasms"
"85+ years","Male","Associate degree (AA,AS)",7832,424853.409945861,"Neoplasms"
"85+ years","Male","Bachelor’s degree (BA, AB, BS)",24537,1240142.0354069,"Neoplasms"
"85+ years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",11774,652963.748738737,"Neoplasms"
"85+ years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8359,455657.010993651,"Neoplasms"
"< 1 year","Female","8th grade or less",1465,5327383,"Accidents"
"< 1 year","Female","9th through 12th grade with no diploma",0,NA,"Accidents"
"< 1 year","Female","High school graduate or GED completed",0,NA,"Accidents"
"< 1 year","Female","Some college credit, but not a degree",0,NA,"Accidents"
"< 1 year","Female","Associate degree (AA,AS)",0,NA,"Accidents"
"< 1 year","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Accidents"
"< 1 year","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Accidents"
"< 1 year","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Accidents"
"< 1 year","Male","8th grade or less",1967,5568877,"Accidents"
"< 1 year","Male","9th through 12th grade with no diploma",0,NA,"Accidents"
"< 1 year","Male","High school graduate or GED completed",0,NA,"Accidents"
"< 1 year","Male","Some college credit, but not a degree",0,NA,"Accidents"
"< 1 year","Male","Associate degree (AA,AS)",0,NA,"Accidents"
"< 1 year","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Accidents"
"< 1 year","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Accidents"
"< 1 year","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Accidents"
"1-4 years","Female","8th grade or less",1387,21990622,"Accidents"
"1-4 years","Female","9th through 12th grade with no diploma",0,NA,"Accidents"
"1-4 years","Female","High school graduate or GED completed",0,NA,"Accidents"
"1-4 years","Female","Some college credit, but not a degree",0,NA,"Accidents"
"1-4 years","Female","Associate degree (AA,AS)",0,NA,"Accidents"
"1-4 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Accidents"
"1-4 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Accidents"
"1-4 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Accidents"
"1-4 years","Male","8th grade or less",2105,22989969,"Accidents"
"1-4 years","Male","9th through 12th grade with no diploma",0,NA,"Accidents"
"1-4 years","Male","High school graduate or GED completed",0,NA,"Accidents"
"1-4 years","Male","Some college credit, but not a degree",0,NA,"Accidents"
"1-4 years","Male","Associate degree (AA,AS)",0,NA,"Accidents"
"1-4 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Accidents"
"1-4 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Accidents"
"1-4 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Accidents"
"5-14 years","Female","8th grade or less",1693,60354869,"Accidents"
"5-14 years","Female","9th through 12th grade with no diploma",151,NA,"Accidents"
"5-14 years","Female","High school graduate or GED completed",0,NA,"Accidents"
"5-14 years","Female","Some college credit, but not a degree",0,NA,"Accidents"
"5-14 years","Female","Associate degree (AA,AS)",0,NA,"Accidents"
"5-14 years","Female","Bachelor’s degree (BA, AB, BS)",0,NA,"Accidents"
"5-14 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Accidents"
"5-14 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Accidents"
"5-14 years","Male","8th grade or less",2843,63270818,"Accidents"
"5-14 years","Male","9th through 12th grade with no diploma",270,NA,"Accidents"
"5-14 years","Male","High school graduate or GED completed",0,NA,"Accidents"
"5-14 years","Male","Some college credit, but not a degree",0,NA,"Accidents"
"5-14 years","Male","Associate degree (AA,AS)",0,NA,"Accidents"
"5-14 years","Male","Bachelor’s degree (BA, AB, BS)",0,NA,"Accidents"
"5-14 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",0,NA,"Accidents"
"5-14 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0,NA,"Accidents"
"15-24 years","Female","8th grade or less",211,3231970.38875783,"Accidents"
"15-24 years","Female","9th through 12th grade with no diploma",3705,22125941.0993076,"Accidents"
"15-24 years","Female","High school graduate or GED completed",5282,13583288.1740219,"Accidents"
"15-24 years","Female","Some college credit, but not a degree",2373,15328451.6994566,"Accidents"
"15-24 years","Female","Associate degree (AA,AS)",423,3129917.1683501,"Accidents"
"15-24 years","Female","Bachelor’s degree (BA, AB, BS)",413,6216340.19976223,"Accidents"
"15-24 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",20,538143.462980643,"Accidents"
"15-24 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",5,59142.8073630288,"Accidents"
"15-24 years","Male","8th grade or less",1202,3927319.41928984,"Accidents"
"15-24 years","Male","9th through 12th grade with no diploma",9391,23773989.1519258,"Accidents"
"15-24 years","Male","High school graduate or GED completed",15261,17725505.0077499,"Accidents"
"15-24 years","Male","Some college credit, but not a degree",4405,14176193.4741762,"Accidents"
"15-24 years","Male","Associate degree (AA,AS)",781,2525692.02533875,"Accidents"
"15-24 years","Male","Bachelor’s degree (BA, AB, BS)",702,4583401.48356485,"Accidents"
"15-24 years","Male","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",46,333993.224039214,"Accidents"
"15-24 years","Male","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",12,57597.2139154368,"Accidents"
"25-34 years","Female","8th grade or less",551,927808.745423385,"Accidents"
"25-34 years","Female","9th through 12th grade with no diploma",4089,2600102.46335049,"Accidents"
"25-34 years","Female","High school graduate or GED completed",12110,15454810.2395185,"Accidents"
"25-34 years","Female","Some college credit, but not a degree",4629,10062467.562458,"Accidents"
"25-34 years","Female","Associate degree (AA,AS)",1684,7284464.92503135,"Accidents"
"25-34 years","Female","Bachelor’s degree (BA, AB, BS)",1578,20690336.5449832,"Accidents"
"25-34 years","Female","Master’s degree (MA, MS, MEng, MEd, MSW, MBA)",327,8162636.91368959,"Accidents"
"25-34 years","Female","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",95,2054182.60554548,"Accidents"
"25-34 years","Male","8th grade or less",2625,1378375.39692527,"Accidents"
